angle,SVMaxPriCur,SVMinPriCur,SVGaussCur,SVAveCur,SVSDF,EVMaxPriCur,EVMinPriCur,EVGaussCur,EVAveCur,EVSDF,Lable
79.332168,153.797618,-96.858371,-14896.58682,28.469623,2.155391,94.620694,-69.512201,-6577.292659,12.554247,2.470223,1
51.390261,82.722952,-26.369475,-2181.360808,28.176738,37.848091,253.188688,-759.423531,-192277.4474,-253.117421,38.23321,1
90.000019,80.271261,-24.156539,-1939.075863,28.057361,31.328372,83.318018,-27.42651,-2285.122474,27.945754,31.193713,1
90.000019,83.318018,-27.42651,-2285.122474,27.945754,31.193713,90.043721,-32.063413,-2887.109051,28.990154,31.261874,1
79.277288,82.94515,-27.170899,-2253.694304,27.887125,14.73803,196.128611,-259.134113,-50823.61349,-31.502751,2.031501,1
34.715419,69.293945,-21.001532,-1455.278982,24.146207,5.570588,232.938793,-691.094804,-160982.7898,-229.078005,5.49038,1
77.513438,61.335077,-13.261579,-813.399991,24.036749,2.430986,308.635031,-867.776033,-267826.0828,-279.570501,2.546718,1
79.344645,67.738269,-22.521317,-1525.555027,22.608476,19.329483,51.235177,-16.863252,-863.991717,17.185962,19.311386,1
90.000019,77.488477,-32.87552,-2547.473992,22.306478,30.748357,164.870754,-232.113241,-38268.68504,-33.621244,30.336116,1
26.794335,52.253303,-9.678356,-505.726095,21.287473,35.063753,299.592106,-870.397508,-260764.2224,-285.402701,25.037433,1
78.038637,43.978077,-9.780403,-430.123331,17.098837,31.221914,611.303415,-1745.818193,-1067224.624,-567.257389,15.931511,1
69.49081,42.900823,-13.365104,-573.373966,14.76786,6.263037,4638.059468,-1467.630182,-6806956.06,1585.214643,6.431876,1
51.544968,40.684372,-12.5183,-509.29918,14.083036,40.004579,667.623796,-1890.276692,-1261993.7,-611.326448,37.571991,1
20.964189,35.595146,-9.384988,-334.060003,13.105079,4.850197,507.580015,-1520.501063,-771775.952,-506.460524,15.88949,1
79.358112,94.620694,-69.512201,-6577.292659,12.554247,2.470223,149.161105,-279.784146,-41732.9123,-65.311521,2.466996,1
79.577928,55.013838,-31.839484,-1751.612227,11.587177,0.924812,153.736717,-53.84177,-8277.457036,49.947474,1.296197,1
60.44429,14.423117,0.311944,4.499204,7.36753,5.705852,256.356298,-756.484526,-193929.5728,-250.064114,16.328391,1
98.178576,257.45567,-247.535637,-63729.45316,4.960017,2.048779,337.389209,17.522735,5911.981811,177.455972,1.653002,1
1.976122,34.525122,-26.087019,-900.657529,4.219051,1.75837,34.959935,-39.050415,-1365.199986,-2.04524,1.460786,0
79.286282,8.234707,-7.840302,-64.56259,0.197202,20.240811,153.797618,-96.858371,-14896.58682,28.469623,2.155391,1
0.405072,0.250123,-1.042586,-0.260775,-0.396231,0.465238,0.631678,-2.204585,-1.392588,-0.786453,0.942904,0
0.505527,0.407538,-1.232874,-0.502443,-0.412668,0.548822,0.879151,-2.903228,-2.552377,-1.012039,1.419807,0
0.453908,0.30139,-1.193766,-0.35979,-0.446188,0.599681,0.749786,-2.541057,-1.905251,-0.895635,1.374536,0
0.56281,0.508879,-1.537879,-0.782595,-0.5145,0.505935,1.01903,-3.287347,-3.349906,-1.134158,1.32444,0
0.448209,0.689244,-1.749237,-1.205652,-0.529997,0.437277,0.577921,-1.744406,-1.008128,-0.583243,0.468551,0
0.393037,0.577921,-1.744406,-1.008128,-0.583243,0.468551,0.508879,-1.537879,-0.782595,-0.5145,0.505935,0
0.551328,0.814059,-1.995844,-1.624735,-0.590893,0.252219,0.764825,-2.078506,-1.589692,-0.65684,0.394027,0
0.501851,0.764825,-2.078506,-1.589692,-0.65684,0.394027,0.689244,-1.749237,-1.205652,-0.529997,0.437277,0
0.090584,0.524566,-1.894431,-0.993753,-0.684933,1.021707,0.201714,-0.77821,-0.156976,-0.288248,0.353115,0
0.594914,0.783211,-2.22298,-1.741062,-0.719884,0.075438,0.814059,-1.995844,-1.624735,-0.590893,0.252219,0
0.242337,1.316599,-4.078448,-5.369681,-1.380924,1.209836,0.577921,-1.744406,-1.008128,-0.583243,0.468551,0
27.837511,12.052221,-22.683031,-273.380903,-5.315405,25.4006,733.345043,-2195.364568,-1609959.723,-731.009763,15.855716,1
